-- sample_label: 20260508-203214
-- generated_at: 2026-05-08T12:32:15Z
-- db: synapse

relname	seq_scan	seq_tup_read	idx_scan	n_tup_ins	n_tup_upd	n_tup_del	n_live_tup	n_dead_tup
rooms	1325	25145	37	38	44	0	38	2
access_tokens	641	12527	150	82	27	0	82	27
room_memberships	476	10346	172	44	14	0	44	14
users	889	7540	2	19	20	0	19	5
events	92	7505	551	336	6	0	336	6
room_summaries	307	6372	106	38	290	0	38	23
device_lists_stream	68	2974	27	122	0	0	122	0
room_summary_members	106	2968	178	41	82	0	41	27
devices	87	2611	1	79	1	24	55	24
federation_queue	131	2221	39	23	165	0	23	19
refresh_tokens	21	474	5	78	32	0	78	32
schema_migrations	34	317	320	16	26	0	16	5
audit_events	7	2	31	211	0	0	211	0
server_retention_policy	3	2	3	1	0	0	1	0
room_ephemeral	9	1	79	3	1	0	3	1
workers	5	0	0	0	0	0	0	0
modules	3	0	0	0	0	0	0	0
qr_login_transactions	3	0	0	0	0	0	0	0
server_media_quota	1	0	4	1	2	0	1	2
room_state_events	3	0	0	0	0	0	0	0
application_service_room_alias_namespaces	1	0	0	0	0	0	0	0
room_invite_blocklist	4	0	0	0	0	0	0	0
thread_read_receipts	4	0	0	0	0	0	0	0
ai_connections	3	0	0	0	0	0	0	0
background_update_locks	2	0	474	0	0	0	0	0
upload_chunks	2	0	0	0	0	0	0	0
media_callbacks	2	0	0	0	0	0	0	0
event_signatures	3	0	0	0	0	0	0	0
thread_roots	8	0	2	0	0	0	0	0
to_device_messages	5	0	34	0	0	0	0	0
(30 rows)
