-- sample_label: 20260508-203214
-- generated_at: 2026-05-08T12:32:15Z
-- db: synapse

schemaname	relname	indexrelname	idx_scan	idx_tup_read	idx_tup_fetch
public	thread_roots	idx_thread_roots_root_event	0	0	0
public	thread_roots	idx_thread_roots_thread	0	0	0
public	thread_roots	pk_thread_roots	0	0	0
public	thread_roots	idx_thread_roots_room	0	0	0
public	room_aliases	idx_room_aliases_room_id	0	0	0
public	thread_roots	uq_thread_roots_room_root_event	0	0	0
public	schema_migrations	schema_migrations_pkey	0	0	0
public	room_summaries	idx_room_summaries_last_event_ts	0	0	0
public	room_summary_state	idx_room_summary_state_room	0	0	0
public	room_directory	uq_room_directory_room	0	0	0
public	room_summary_members	idx_room_summary_members_user_membership_room	0	0	0
public	room_directory	pk_room_directory	0	0	0
public	room_directory	idx_room_directory_public	0	0	0
public	room_summary_members	room_summary_members_pkey	0	0	0
public	users	idx_users_created_ts	0	0	0
public	devices	idx_devices_user_id	0	0	0
public	users	idx_users_must_change_password	0	0	0
public	access_tokens	pk_access_tokens	0	0	0
public	users	idx_users_password_expires	0	0	0
public	room_summary_state	room_summary_state_pkey	0	0	0
public	room_summaries	idx_room_summaries_space	0	0	0
public	room_summary_stats	room_summary_stats_pkey	0	0	0
public	users	idx_users_email	0	0	0
public	users	idx_users_locked	0	0	0
public	user_threepids	pk_user_threepids	0	0	0
public	refresh_tokens	idx_refresh_tokens_revoked	0	0	0
public	token_blacklist	pk_token_blacklist	0	0	0
public	user_threepids	uq_user_threepids_medium_address	0	0	0
public	users	idx_users_is_admin	0	0	0
public	event_relations	idx_event_relations_sender	0	0	0
public	rooms	idx_rooms_creator	0	0	0
public	rooms	idx_rooms_is_public	0	0	0
public	rooms	idx_rooms_last_activity	0	0	0
public	room_memberships	pk_room_memberships	0	0	0
public	devices	idx_devices_last_seen	0	0	0
public	room_memberships	idx_room_memberships_room	0	0	0
public	room_memberships	idx_room_memberships_user	0	0	0
public	room_memberships	idx_room_memberships_membership	0	0	0
public	room_memberships	idx_room_memberships_user_membership	0	0	0
public	access_tokens	uq_access_tokens_token_hash	0	0	0
public	access_tokens	idx_access_tokens_user_id	0	0	0
public	event_relations	idx_event_relations_origin_ts	0	0	0
public	events	idx_events_sender	0	0	0
public	access_tokens	idx_access_tokens_valid	0	0	0
public	room_summaries	uq_room_summaries_id	0	0	0
public	events	idx_events_not_redacted	0	0	0
public	refresh_tokens	pk_refresh_tokens	0	0	0
public	event_relations	event_relations_pkey	0	0	0
public	event_relations	idx_event_relations_unique	0	0	0
public	thread_roots	idx_thread_roots_room_thread_unique	0	0	0
(50 rows)
