ts	cpu	mem	net_io	block_io	pids	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775662392	38.23%	227.2MiB / 3.884GiB	2.32GB / 7.44GB	382MB / 0B	11	3	527	0	616	0	0	0	7	61445826	15201
1775662417	37.00%	230MiB / 3.884GiB	2.34GB / 7.49GB	384MB / 0B	11	3	527	0	616	0	0	0	7	61470748	15201
1775662421	36.10%	229.6MiB / 3.884GiB	2.34GB / 7.5GB	384MB / 0B	11	3	527	0	616	0	0	0	7	61492200	15201
1775662424	37.53%	229.5MiB / 3.884GiB	2.34GB / 7.5GB	384MB / 0B	11	3	527	0	616	0	0	0	7	61513927	15201
1775662427	34.48%	234.3MiB / 3.884GiB	2.34GB / 7.51GB	392MB / 0B	11	3	527	0	616	0	0	0	7	61535683	15201
1775662430	35.66%	234MiB / 3.884GiB	2.35GB / 7.52GB	392MB / 0B	11	3	527	0	616	0	0	0	7	61557383	15201
1775662433	35.86%	234.3MiB / 3.884GiB	2.35GB / 7.52GB	392MB / 0B	11	3	527	0	616	0	0	0	7	61579063	15201
1775662436	35.55%	234.2MiB / 3.884GiB	2.35GB / 7.53GB	392MB / 0B	12	3	527	0	616	0	0	0	7	61600677	15201
1775662439	35.30%	234.8MiB / 3.884GiB	2.35GB / 7.53GB	392MB / 0B	12	3	527	0	616	0	0	0	7	61622480	15201
1775662442	39.35%	234.2MiB / 3.884GiB	2.35GB / 7.54GB	392MB / 0B	12	3	527	0	616	0	0	0	7	61646463	15201
1775662445	36.66%	234.3MiB / 3.884GiB	2.36GB / 7.55GB	392MB / 0B	11	3	527	0	618	0	0	0	7	61676920	15201
1775662449	43.69%	234.3MiB / 3.884GiB	2.36GB / 7.56GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61706228	15201
1775662453	38.32%	234.3MiB / 3.884GiB	2.36GB / 7.56GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61727001	15201
1775662456	37.79%	234.7MiB / 3.884GiB	2.36GB / 7.57GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61748606	15201
1775662459	39.74%	234.1MiB / 3.884GiB	2.36GB / 7.58GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61770446	15202
1775662462	37.27%	234.6MiB / 3.884GiB	2.37GB / 7.58GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61792131	15202
1775662465	37.42%	234MiB / 3.884GiB	2.37GB / 7.59GB	392MB / 0B	11	3	527	0	617	0	0	0	7	61813430	15202
1775662468	38.20%	234.5MiB / 3.884GiB	2.37GB / 7.59GB	392MB / 0B	12	3	527	0	617	0	0	0	7	61835291	15206
1775662471	38.69%	230.3MiB / 3.884GiB	2.37GB / 7.6GB	397MB / 0B	12	3	527	0	617	0	0	0	7	61857017	15207
1775662474	37.96%	230.5MiB / 3.884GiB	2.37GB / 7.61GB	397MB / 0B	12	3	527	0	617	0	0	0	7	61878741	15207
1775662477	37.55%	230.8MiB / 3.884GiB	2.38GB / 7.61GB	397MB / 0B	11	3	527	0	617	0	0	0	7	61900214	15208
1775662480	37.37%	231MiB / 3.884GiB	2.38GB / 7.62GB	397MB / 0B	11	3	527	0	615	0	0	0	7	61921645	15208
1775662483	38.09%	230.7MiB / 3.884GiB	2.38GB / 7.62GB	397MB / 0B	11	3	527	0	617	0	0	0	7	61943445	15208
1775662486	39.54%	230.6MiB / 3.884GiB	2.38GB / 7.63GB	397MB / 0B	11	3	527	0	617	0	0	0	7	61964832	15212
1775662489	37.63%	230.4MiB / 3.884GiB	2.38GB / 7.64GB	397MB / 0B	11	3	527	0	617	0	0	0	7	61986657	15213
1775662492	38.90%	231.2MiB / 3.884GiB	2.39GB / 7.64GB	397MB / 0B	11	3	527	0	617	0	0	0	7	62008052	15213
1775662495	39.12%	231MiB / 3.884GiB	2.39GB / 7.65GB	397MB / 0B	12	3	527	0	617	0	0	0	7	62029762	15213
1775662498	38.12%	230.4MiB / 3.884GiB	2.39GB / 7.65GB	397MB / 0B	12	3	527	0	617	0	0	0	7	62051338	15215
1775662501	44.29%	230.4MiB / 3.884GiB	2.39GB / 7.66GB	397MB / 0B	12	3	527	0	617	0	0	0	7	62074006	15215
1775662504	41.99%	230.4MiB / 3.884GiB	2.39GB / 7.67GB	397MB / 0B	12	3	527	0	617	0	0	0	7	62097273	15216
1775662507	52.23%	230.6MiB / 3.884GiB	2.4GB / 7.68GB	397MB / 0B	11	3	527	0	616	0	0	0	7	62127621	15221
1775662512	37.10%	230.8MiB / 3.884GiB	2.4GB / 7.68GB	397MB / 0B	11	3	527	0	618	0	0	0	7	62156050	15221
1775662515	36.27%	228.5MiB / 3.884GiB	2.4GB / 7.69GB	399MB / 0B	11	3	527	0	616	0	0	0	7	62177910	15221
1775662518	38.62%	230.1MiB / 3.884GiB	2.4GB / 7.7GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62200495	15221
1775662521	36.47%	230.6MiB / 3.884GiB	2.4GB / 7.7GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62221061	15221
1775662524	38.76%	230.6MiB / 3.884GiB	2.41GB / 7.71GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62242721	15221
1775662527	32.96%	230.7MiB / 3.884GiB	2.41GB / 7.71GB	401MB / 0B	12	3	527	0	618	0	0	0	7	62264012	15225
1775662530	33.70%	230.7MiB / 3.884GiB	2.41GB / 7.72GB	401MB / 0B	12	3	527	0	618	0	0	0	7	62285570	15227
1775662533	35.24%	230.8MiB / 3.884GiB	2.41GB / 7.73GB	401MB / 0B	12	3	527	0	618	0	0	0	7	62306811	15231
1775662536	35.64%	231MiB / 3.884GiB	2.41GB / 7.73GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62328201	15231
1775662539	35.06%	230.7MiB / 3.884GiB	2.42GB / 7.74GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62349875	15231
1775662542	36.31%	230.2MiB / 3.884GiB	2.42GB / 7.74GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62371119	15232
1775662545	33.43%	230.6MiB / 3.884GiB	2.42GB / 7.75GB	401MB / 0B	11	3	527	0	616	0	0	0	7	62392689	15235
1775662548	33.97%	231MiB / 3.884GiB	2.42GB / 7.76GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62414493	15235
1775662551	36.25%	230.7MiB / 3.884GiB	2.42GB / 7.76GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62435878	15235
1775662554	37.49%	231.1MiB / 3.884GiB	2.43GB / 7.77GB	401MB / 0B	11	3	527	0	617	0	0	0	7	62457682	15238
1775662558	38.29%	230.5MiB / 3.884GiB	2.43GB / 7.77GB	401MB / 0B	12	3	527	0	616	0	0	0	7	62478966	15242
1775662560	39.43%	226MiB / 3.884GiB	2.43GB / 7.78GB	401MB / 0B	12	3	527	0	618	0	0	0	7	62502484	15242
1775662564	42.77%	226.5MiB / 3.884GiB	2.43GB / 7.79GB	401MB / 0B	12	3	527	0	617	0	0	0	7	62532548	15245
1775662568	45.37%	226.8MiB / 3.884GiB	2.43GB / 7.8GB	401MB / 0B	11	3	527	0	616	0	0	0	7	62564665	15246
1775662572	37.63%	226.9MiB / 3.884GiB	2.44GB / 7.81GB	401MB / 0B	11	3	527	0	616	0	0	0	7	62591135	15246
1775662576	36.75%	226.2MiB / 3.884GiB	2.44GB / 7.81GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62612718	15246
1775662579	37.74%	226.6MiB / 3.884GiB	2.44GB / 7.82GB	401MB / 0B	11	3	527	0	618	0	0	0	7	62635392	15246
1775662582	38.81%	227.1MiB / 3.884GiB	2.44GB / 7.83GB	401MB / 0B	11	3	527	0	617	0	0	0	7	62662718	15246
1775662586	38.73%	227MiB / 3.884GiB	2.44GB / 7.83GB	401MB / 0B	12	3	527	0	617	0	0	0	7	62684165	15246
1775662589	38.80%	227.1MiB / 3.884GiB	2.45GB / 7.84GB	401MB / 0B	12	3	527	0	617	0	0	0	7	62705943	15246
1775662592	39.18%	227.2MiB / 3.884GiB	2.45GB / 7.84GB	401MB / 0B	12	3	527	0	617	0	0	0	7	62727301	15246
1775662595	38.74%	227.6MiB / 3.884GiB	2.45GB / 7.85GB	401MB / 0B	12	3	527	0	617	0	0	0	7	62748934	15246
1775662598	40.03%	227MiB / 3.884GiB	2.45GB / 7.86GB	401MB / 0B	11	3	527	0	617	0	0	0	7	62770493	15246
1775662601	39.86%	227.1MiB / 3.884GiB	2.45GB / 7.86GB	401MB / 0B	11	3	527	0	617	0	0	0	7	62792165	15246
1775662604	38.71%	226.9MiB / 3.884GiB	2.46GB / 7.87GB	401MB / 0B	11	3	527	0	615	0	0	0	7	62813315	15246
1775662607	37.94%	234.2MiB / 3.884GiB	2.46GB / 7.87GB	408MB / 0B	11	3	527	0	617	0	0	0	7	62835947	15246
1775662610	39.03%	234.4MiB / 3.884GiB	2.46GB / 7.88GB	408MB / 0B	11	3	527	0	617	0	0	0	7	62857242	15246
