ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689311	0.17%	228.6MiB / 3.884GiB	3.89GB / 11.7GB	1.8GB / 0B	11	7	46	38	0	162	0	0	0	35	88684809	17077
1775689315	0.13%	228.8MiB / 3.884GiB	3.89GB / 11.7GB	1.8GB / 0B	12	7	46	38	0	161	0	0	0	35	88687051	17081
1775689319	0.13%	228.6MiB / 3.884GiB	3.89GB / 11.7GB	1.8GB / 0B	12	7	46	38	0	159	0	0	0	35	88689131	17084
1775689323	62.79%	245.2MiB / 3.884GiB	3.89GB / 11.7GB	1.82GB / 0B	12	7	54	48	0	175	0	0	0	35	88745017	17090
1775689327	43.35%	244.6MiB / 3.884GiB	3.9GB / 11.7GB	1.82GB / 0B	12	7	53	45	0	171	391	0	0	35	88829694	17091
1775689331	55.30%	244.6MiB / 3.884GiB	3.91GB / 11.7GB	1.82GB / 0B	12	7	54	46	0	171	904	0	0	35	88922083	17095
1775689335	48.68%	245.5MiB / 3.884GiB	3.92GB / 11.7GB	1.82GB / 0B	11	7	54	46	0	174	903	0	0	35	89015952	17104
1775689339	46.60%	230.1MiB / 3.884GiB	3.93GB / 11.7GB	1.82GB / 0B	11	7	53	46	0	174	904	0	0	35	89105753	17104
1775689343	49.90%	230.7MiB / 3.884GiB	3.94GB / 11.7GB	1.82GB / 0B	11	7	53	46	0	173	392	0	0	35	89195929	17112
1775689347	49.54%	231.2MiB / 3.884GiB	3.95GB / 11.7GB	1.82GB / 0B	12	7	55	49	0	177	650	0	0	35	89295015	17112
1775689352	82.19%	230.8MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	12	7	56	49	0	177	1165	0	0	35	89374470	17119
1775689355	0.70%	231.1MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	12	7	54	46	0	175	910	0	0	35	89376726	17119
1775689359	0.66%	231MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	11	7	54	46	0	173	654	0	0	35	89378773	17127
1775689363	0.52%	230.9MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	11	7	54	46	0	173	654	0	0	35	89380908	17129
1775689367	0.59%	231.2MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	11	7	54	46	0	177	398	0	0	35	89383507	17129
1775689371	0.53%	230.7MiB / 3.884GiB	3.97GB / 11.7GB	1.82GB / 0B	11	7	54	46	0	175	398	0	0	35	89385752	17129
