ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775688364	1.23%	226MiB / 3.884GiB	3.43GB / 11GB	1.69GB / 0B	11	1	3	16	0	106	0	0	0	34	82225321	16874
1775688368	1.26%	226.1MiB / 3.884GiB	3.43GB / 11GB	1.69GB / 0B	11	1	3	16	0	106	0	0	0	34	82226562	16874
1775688372	1.06%	225.7MiB / 3.884GiB	3.43GB / 11GB	1.69GB / 0B	11	1	3	16	0	107	0	0	0	34	82227812	16874
1775688376	31.95%	243.3MiB / 3.884GiB	3.43GB / 11GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82255749	16874
1775688380	31.91%	243.6MiB / 3.884GiB	3.44GB / 11GB	1.71GB / 0B	11	1	3	17	0	110	0	0	0	34	82277670	16874
1775688383	33.47%	243.9MiB / 3.884GiB	3.44GB / 11GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82299130	16874
1775688386	35.72%	243.4MiB / 3.884GiB	3.44GB / 11GB	1.71GB / 0B	12	1	3	17	0	110	0	0	0	34	82321220	16875
1775688389	40.62%	243.8MiB / 3.884GiB	3.44GB / 11GB	1.71GB / 0B	12	1	3	17	0	108	0	0	0	34	82344849	16875
1775688392	47.51%	225.8MiB / 3.884GiB	3.44GB / 11GB	1.71GB / 0B	12	1	3	17	0	110	0	0	0	34	82376043	16875
1775688396	39.72%	225.9MiB / 3.884GiB	3.45GB / 11GB	1.71GB / 0B	11	1	3	17	0	110	0	0	0	34	82406489	16875
1775688400	35.49%	226MiB / 3.884GiB	3.45GB / 11GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82434051	16875
1775688404	34.47%	226.4MiB / 3.884GiB	3.45GB / 11GB	1.71GB / 0B	11	1	3	17	0	110	0	0	0	34	82455985	16875
1775688407	34.82%	226.2MiB / 3.884GiB	3.45GB / 11GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82477427	16875
1775688410	37.34%	226MiB / 3.884GiB	3.45GB / 11.1GB	1.71GB / 0B	11	1	3	17	0	110	0	0	0	34	82499746	16875
1775688413	38.29%	225.9MiB / 3.884GiB	3.46GB / 11.1GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82521321	16875
1775688416	35.17%	225.3MiB / 3.884GiB	3.46GB / 11.1GB	1.71GB / 0B	12	1	3	17	0	110	0	0	0	34	82543270	16875
1775688419	36.50%	225.6MiB / 3.884GiB	3.46GB / 11.1GB	1.71GB / 0B	12	1	3	17	0	108	0	0	0	34	82565305	16875
1775688422	38.89%	225.9MiB / 3.884GiB	3.46GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	108	0	0	0	34	82587172	16875
1775688425	39.44%	225.8MiB / 3.884GiB	3.46GB / 11.1GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82609851	16875
1775688428	38.04%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	17	0	108	0	0	0	34	82638535	16875
1775688432	35.03%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	17	0	110	0	0	0	34	82660137	16879
1775688435	1.16%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82667300	16879
1775688438	0.12%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82668481	16879
1775688441	0.15%	226.5MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82669599	16879
1775688445	1.14%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	107	0	0	0	34	82670676	16879
1775688448	0.16%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	109	0	0	0	34	82671802	16879
1775688451	0.45%	226.3MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	106	0	0	0	34	82672983	16879
1775688455	0.16%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82674293	16879
1775688459	0.13%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82675434	16879
1775688463	0.37%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82676649	16879
1775688467	0.14%	226.4MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82677902	16879
1775688471	0.13%	226.2MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82678997	16880
1775688475	1.14%	226.4MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	107	0	0	0	34	82680064	16880
1775688478	0.14%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	109	0	0	0	34	82681099	16880
1775688481	0.13%	226.5MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	109	0	0	0	34	82682275	16880
1775688485	0.95%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82683308	16880
1775688488	0.17%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82684409	16880
1775688491	2.44%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82685344	16880
1775688494	0.35%	225.5MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82686435	16880
1775688497	1.53%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82687422	16880
1775688500	0.14%	226.2MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82688401	16880
1775688503	0.99%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82689446	16880
1775688506	0.14%	226.3MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	109	0	0	0	34	82690514	16880
1775688509	1.21%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	112	0	0	0	34	82691752	16880
1775688512	1.60%	226.2MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	12	1	3	16	0	107	0	0	0	34	82693068	16880
1775688516	1.30%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82694330	16880
1775688520	1.09%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82695550	16880
1775688524	0.52%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82696712	16880
1775688527	0.80%	225.3MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82697782	16880
1775688530	0.12%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	109	0	0	0	34	82698870	16880
1775688533	1.08%	225.7MiB / 3.884GiB	3.47GB / 11.1GB	1.71GB / 0B	11	1	3	16	0	107	0	0	0	34	82700121	16880
1775688536	0.14%	239MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82701241	16883
1775688539	1.39%	239.2MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	107	0	0	0	34	82702179	16883
1775688542	0.01%	238.9MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82703181	16883
1775688545	0.12%	239MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82704471	16883
1775688549	1.07%	238.5MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82705450	16883
1775688552	0.12%	239.2MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82706490	16883
1775688555	0.92%	239MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82707516	16883
1775688558	0.13%	239.4MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82708602	16883
1775688561	1.54%	238.6MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82709588	16883
1775688564	0.35%	239MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82710649	16883
1775688567	1.15%	238.7MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	110	0	0	0	34	82712020	16883
1775688571	1.22%	239.3MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82713290	16883
1775688575	1.17%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82714618	16883
1775688579	1.64%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82715815	16883
1775688582	0.20%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82716880	16883
1775688585	1.07%	226.2MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82717957	16883
1775688588	0.13%	225.8MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82718945	16883
1775688591	1.67%	225.9MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	107	0	0	0	34	82719908	16883
1775688594	0.22%	225.7MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82721049	16883
1775688597	1.04%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	107	0	0	0	34	82722133	16883
1775688600	0.42%	226MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	109	0	0	0	34	82723169	16883
1775688604	1.00%	226.1MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	12	1	3	16	0	107	0	0	0	34	82724235	16883
1775688606	0.15%	226.3MiB / 3.884GiB	3.47GB / 11.1GB	1.72GB / 0B	11	1	3	16	0	109	0	0	0	34	82725383	16883
