ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689031	1.04%	232.4MiB / 3.884GiB	3.47GB / 11.1GB	1.77GB / 0B	11	7	24	16	0	107	0	0	0	35	82856408	16891
1775689034	0.16%	232.4MiB / 3.884GiB	3.47GB / 11.1GB	1.77GB / 0B	11	7	24	16	0	109	0	0	0	35	82858029	16891
1775689037	0.98%	232.4MiB / 3.884GiB	3.47GB / 11.1GB	1.77GB / 0B	11	7	24	16	0	107	0	0	0	35	82859521	16891
1775689040	0.15%	232.4MiB / 3.884GiB	3.47GB / 11.1GB	1.77GB / 0B	11	7	24	16	0	109	0	0	0	35	82860937	16891
1775689043	23.04%	242.3MiB / 3.884GiB	3.47GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	108	0	0	0	35	82889406	16892
1775689046	20.18%	241.8MiB / 3.884GiB	3.47GB / 11.1GB	1.78GB / 0B	12	7	25	17	0	110	0	0	0	35	82933007	16892
1775689049	34.18%	242MiB / 3.884GiB	3.48GB / 11.1GB	1.78GB / 0B	12	7	25	16	0	108	0	0	0	35	82977487	16892
1775689052	27.69%	241.8MiB / 3.884GiB	3.48GB / 11.1GB	1.78GB / 0B	12	7	25	17	0	110	0	0	0	35	83035287	16892
1775689056	27.38%	242.1MiB / 3.884GiB	3.49GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	110	294	0	0	35	83091446	16892
1775689060	29.63%	243.2MiB / 3.884GiB	3.49GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	113	294	0	0	35	83136923	16892
1775689063	29.76%	242.7MiB / 3.884GiB	3.49GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	113	550	0	0	35	83193228	16892
1775689067	27.57%	225.1MiB / 3.884GiB	3.5GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	113	294	0	0	35	83250700	16892
1775689071	30.92%	224.9MiB / 3.884GiB	3.5GB / 11.1GB	1.78GB / 0B	11	7	25	17	0	113	294	0	0	35	83307084	16896
1775689075	33.69%	224.6MiB / 3.884GiB	3.5GB / 11.1GB	1.78GB / 0B	12	7	25	17	0	113	293	0	0	35	83363776	16897
1775689079	30.42%	225.2MiB / 3.884GiB	3.51GB / 11.2GB	1.78GB / 0B	12	7	25	17	0	113	549	0	0	35	83420484	16902
1775689083	33.35%	225.3MiB / 3.884GiB	3.51GB / 11.2GB	1.78GB / 0B	11	7	25	17	0	113	549	0	0	35	83477706	16909
1775689087	32.66%	225.1MiB / 3.884GiB	3.52GB / 11.2GB	1.78GB / 0B	11	7	25	17	0	113	549	0	0	35	83536869	16910
1775689091	29.86%	225.1MiB / 3.884GiB	3.52GB / 11.2GB	1.78GB / 0B	11	7	25	17	0	113	1061	0	0	35	83594831	16910
1775689095	32.55%	225MiB / 3.884GiB	3.52GB / 11.2GB	1.78GB / 0B	11	7	25	17	0	113	548	0	0	35	83650984	16910
1775689099	32.39%	224.9MiB / 3.884GiB	3.53GB / 11.2GB	1.78GB / 0B	11	7	25	17	0	113	291	0	0	35	83707164	16910
