ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689144	1.04%	231.9MiB / 3.884GiB	3.53GB / 11.2GB	1.79GB / 0B	11	7	24	16	0	109	0	0	0	35	83732750	16922
1775689148	0.16%	233.3MiB / 3.884GiB	3.53GB / 11.2GB	1.79GB / 0B	11	7	24	16	0	115	0	0	0	35	83734407	16922
1775689152	53.27%	235.7MiB / 3.884GiB	3.53GB / 11.2GB	1.79GB / 0B	11	7	36	33	0	134	35	0	0	35	83859605	16924
1775689156	97.43%	236.8MiB / 3.884GiB	3.56GB / 11.2GB	1.79GB / 0B	13	7	92	86	0	195	807	0	0	35	84186721	16929
1775689160	99.36%	229.1MiB / 3.884GiB	3.58GB / 11.2GB	1.79GB / 0B	13	7	142	136	0	246	1066	0	0	35	84510527	16938
1775689164	98.21%	229.8MiB / 3.884GiB	3.6GB / 11.3GB	1.79GB / 0B	13	7	189	183	0	292	1070	0	0	35	84840283	16942
1775689168	123.00%	230.7MiB / 3.884GiB	3.63GB / 11.3GB	1.79GB / 0B	12	7	236	229	0	341	816	0	0	35	85173566	16943
1775689172	146.51%	232MiB / 3.884GiB	3.65GB / 11.3GB	1.79GB / 0B	12	7	237	231	0	343	564	0	0	35	85515119	16952
1775689177	167.17%	231.7MiB / 3.884GiB	3.68GB / 11.4GB	1.79GB / 0B	13	7	245	237	0	353	1345	0	0	35	85904855	16966
1775689181	183.05%	231.7MiB / 3.884GiB	3.7GB / 11.4GB	1.79GB / 0B	13	7	247	239	0	355	1093	0	0	35	86237771	16972
1775689185	226.02%	231.9MiB / 3.884GiB	3.73GB / 11.5GB	1.79GB / 0B	11	7	251	243	0	361	846	0	0	35	86563503	16977
