ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689575	2.16%	247.4MiB / 3.884GiB	3.97GB / 11.7GB	1.85GB / 0B	11	7	54	46	0	173	0	0	0	35	89495443	17269
1775689579	0.01%	246.9MiB / 3.884GiB	3.97GB / 11.7GB	1.85GB / 0B	11	7	54	46	0	173	0	0	0	35	89497530	17276
1775689582	0.00%	246.9MiB / 3.884GiB	3.97GB / 11.7GB	1.85GB / 0B	11	7	54	46	0	167	0	0	0	35	89499822	17277
1775689585	0.64%	248.2MiB / 3.884GiB	3.97GB / 11.7GB	1.85GB / 0B	12	7	54	46	0	179	0	0	0	35	89502041	17279
1775689588	0.56%	248MiB / 3.884GiB	3.97GB / 11.7GB	1.85GB / 0B	12	7	54	46	0	180	0	0	0	35	89504824	17280
1775689593	15.28%	246.9MiB / 3.884GiB	3.98GB / 11.8GB	1.85GB / 0B	11	7	61	54	0	188	0	0	0	35	89612332	17280
1775689599	19.95%	246.9MiB / 3.884GiB	3.98GB / 11.8GB	1.85GB / 0B	11	7	93	86	0	229	0	0	0	38	89679369	17287
1775689605	66.89%	251.6MiB / 3.884GiB	3.99GB / 11.8GB	1.85GB / 0B	18	7	118	112	0	259	0	0	0	38	89773329	17289
1775689610	12.58%	241.2MiB / 3.884GiB	4GB / 11.8GB	1.85GB / 0B	16	7	139	132	0	281	0	0	0	38	89840897	17291
1775689616	33.66%	254.8MiB / 3.884GiB	4.01GB / 11.8GB	1.85GB / 0B	12	7	158	152	0	306	0	0	0	38	89945826	17297
1775689622	18.97%	267.8MiB / 3.884GiB	4.02GB / 11.8GB	1.85GB / 0B	12	7	174	167	0	316	0	0	0	38	90037656	17303
1775689627	59.49%	284.8MiB / 3.884GiB	4.04GB / 11.8GB	1.85GB / 0B	11	7	185	178	0	326	0	0	0	38	90157408	17305
1775689632	21.02%	290.9MiB / 3.884GiB	4.04GB / 11.8GB	1.85GB / 0B	11	7	200	191	0	341	0	0	0	38	90243358	17305
1775689637	76.12%	293.1MiB / 3.884GiB	4.06GB / 11.9GB	1.85GB / 0B	11	7	210	203	0	355	0	0	0	38	90388572	17305
1775689642	38.20%	295.7MiB / 3.884GiB	4.07GB / 11.9GB	1.85GB / 0B	11	7	227	220	0	373	0	0	0	38	90481375	17308
1775689648	27.50%	301.5MiB / 3.884GiB	4.08GB / 11.9GB	1.85GB / 0B	12	7	249	242	0	393	0	0	0	38	90548756	17308
1775689655	85.74%	318.3MiB / 3.884GiB	4.08GB / 11.9GB	1.86GB / 0B	11	7	249	241	0	391	0	0	0	38	90628483	17313
