ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775694708	0.00%	189.1MiB / 3.884GiB	14MB / 28.5MB	7.59MB / 0B	12	7	24	16	0	130	0	0	0	2	111522102	21795
1775694714	245.65%	219.3MiB / 3.884GiB	38.9MB / 73.1MB	8.43MB / 0B	15	7	84	77	0	219	865	0	0	2	112116641	21803
1775694721	281.22%	221.9MiB / 3.884GiB	70.4MB / 130MB	8.43MB / 0B	15	7	88	83	0	233	619	0	0	2	112770883	21817
1775694728	315.64%	224.2MiB / 3.884GiB	97.4MB / 178MB	8.43MB / 0B	11	7	117	115	0	270	1141	0	0	2	113369856	21829
1775694736	342.04%	236MiB / 3.884GiB	129MB / 235MB	8.43MB / 0B	12	7	143	140	0	294	895	0	0	2	113983560	21849
1775694744	378.41%	249.4MiB / 3.884GiB	157MB / 286MB	8.43MB / 0B	11	7	181	175	0	325	645	0	0	2	114519970	21873
1775694752	281.72%	263.2MiB / 3.884GiB	185MB / 337MB	12.1MB / 0B	11	7	212	206	0	365	398	0	0	2	115023860	21888
1775694760	260.16%	273.9MiB / 3.884GiB	208MB / 379MB	12.1MB / 0B	11	7	250	245	0	387	662	0	0	2	115404856	21903
1775694765	191.76%	291.5MiB / 3.884GiB	228MB / 416MB	15.3MB / 0B	12	7	287	278	0	412	668	0	0	2	115771253	21918
1775694770	219.11%	299.1MiB / 3.884GiB	245MB / 445MB	15.3MB / 0B	12	7	293	283	0	431	1180	0	0	2	116158332	21935
1775694777	211.10%	301MiB / 3.884GiB	267MB / 486MB	15.3MB / 0B	11	7	270	260	0	409	920	0	0	2	116585664	21948
1775694784	223.29%	298.4MiB / 3.884GiB	290MB / 527MB	15.3MB / 0B	11	7	240	231	0	375	930	0	0	2	117037643	21971
1775694792	250.78%	290.4MiB / 3.884GiB	315MB / 573MB	15.5MB / 0B	11	7	188	172	0	322	427	0	0	2	117567605	21991
1775694800	1.33%	276.3MiB / 3.884GiB	336MB / 611MB	15.5MB / 0B	12	7	64	56	0	198	944	0	0	2	117695498	22003
1775694807	1.07%	276.3MiB / 3.884GiB	336MB / 611MB	15.5MB / 0B	11	7	64	56	0	202	688	0	0	2	117700570	22003
1775694812	4.22%	276.3MiB / 3.884GiB	336MB / 611MB	15.5MB / 0B	11	7	64	56	0	194	176	0	0	2	117703736	22003
