ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775696816	1.88%	193.4MiB / 3.884GiB	112kB / 137kB	11.3MB / 0B	11	7	23	15	2	124	0	0	0	0	119055134	23391
1775696821	121.16%	206MiB / 3.884GiB	11.1MB / 19.8MB	12.2MB / 0B	13	7	59	64	2	202	1105	0	0	0	119506318	23403
1775696827	322.87%	218.3MiB / 3.884GiB	43.6MB / 78.2MB	15.2MB / 0B	21	7	95	90	2	241	1112	0	0	0	120202282	23412
1775696835	325.05%	221.9MiB / 3.884GiB	77.9MB / 140MB	15.2MB / 0B	11	7	108	103	2	255	1123	0	0	0	120942464	23421
1775696843	338.80%	224.6MiB / 3.884GiB	118MB / 212MB	15.2MB / 0B	11	7	115	109	2	261	1140	0	0	0	121651499	23442
1775696851	377.18%	232.7MiB / 3.884GiB	157MB / 283MB	15.2MB / 0B	12	7	131	123	3	271	1149	0	0	0	122525758	23473
1775696859	284.99%	236.2MiB / 3.884GiB	209MB / 376MB	15.2MB / 0B	11	7	117	111	2	260	910	0	0	4	123394938	23485
1775696868	338.02%	233.7MiB / 3.884GiB	245MB / 440MB	15.6MB / 0B	11	7	133	129	2	278	664	0	0	37	124266681	23506
1775696878	320.14%	244.2MiB / 3.884GiB	290MB / 522MB	15.6MB / 0B	12	7	151	139	2	287	1196	0	0	52	125137066	23535
1775696890	0.00%	245.3MiB / 3.884GiB	322MB / 580MB	21.7MB / 0B	11	7	64	56	2	193	947	0	0	52	125192737	23536
1775696892	0.00%	245.3MiB / 3.884GiB	322MB / 580MB	21.7MB / 0B	11	7	64	56	2	206	947	0	0	52	125197216	23544
1775696897	2.21%	245.3MiB / 3.884GiB	322MB / 580MB	21.7MB / 0B	11	7	64	56	2	201	431	0	0	52	125202344	23552
