ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689783	0.00%	302MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	11	7	72	64	0	217	0	0	0	39	91407972	17368
1775689787	0.00%	302MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	11	7	72	64	0	205	0	0	0	39	91410659	17368
1775689790	0.74%	288.8MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	11	7	72	64	0	215	0	0	0	39	91413349	17372
1775689794	1.14%	289.2MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	12	7	72	64	0	213	0	0	0	39	91416729	17380
1775689798	0.76%	289.2MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	12	7	72	64	0	213	0	0	0	39	91420091	17383
1775689802	16.60%	291.3MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	12	7	77	71	0	224	0	0	0	39	91462202	17389
1775689807	28.52%	285.4MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	11	7	99	92	0	246	0	0	0	39	91538528	17395
1775689813	22.61%	283.6MiB / 3.884GiB	4.17GB / 12GB	1.88GB / 0B	11	7	117	110	0	262	0	0	0	39	91612894	17398
1775689818	17.83%	285.2MiB / 3.884GiB	4.18GB / 12GB	1.88GB / 0B	11	7	139	132	0	281	0	0	0	39	91685477	17408
1775689823	16.16%	284.9MiB / 3.884GiB	4.18GB / 12GB	1.88GB / 0B	12	7	159	152	0	308	0	0	0	39	91757386	17408
1775689828	17.25%	292.3MiB / 3.884GiB	4.18GB / 12GB	1.88GB / 0B	12	7	181	174	0	326	0	0	0	39	91825982	17411
1775689834	32.98%	302.2MiB / 3.884GiB	4.19GB / 12GB	1.89GB / 0B	11	7	204	198	0	354	0	0	0	41	91920534	17413
1775689841	27.13%	313.7MiB / 3.884GiB	4.19GB / 12GB	1.89GB / 0B	11	7	228	222	0	379	0	0	0	41	91985315	17413
1775689847	25.32%	317.9MiB / 3.884GiB	4.2GB / 12GB	1.89GB / 0B	11	7	250	243	0	389	0	0	0	41	92050962	17424
1775689852	34.95%	323.5MiB / 3.884GiB	4.2GB / 12.1GB	1.89GB / 0B	11	7	273	267	0	409	0	0	0	41	92111078	17429
