ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775689792	0.01%	217.1MiB / 3.884GiB	441MB / 462MB	3.31GB / 1.14GB	67	28294	84	62	0	206	0	0	0	9	91414613	17373
1775689796	0.29%	217.2MiB / 3.884GiB	441MB / 462MB	3.31GB / 1.14GB	67	28294	84	62	0	208	0	0	0	9	91418083	17381
1775689800	0.00%	223.9MiB / 3.884GiB	441MB / 462MB	3.32GB / 1.14GB	67	28294	84	62	0	206	0	0	0	9	91421361	17383
1775689804	35.80%	225.7MiB / 3.884GiB	443MB / 463MB	3.32GB / 1.16GB	67	28294	87	62	0	223	0	0	0	9	91486541	17389
1775689809	44.80%	224.9MiB / 3.884GiB	446MB / 465MB	3.32GB / 1.17GB	67	28294	89	62	0	250	0	0	0	9	91554301	17395
1775689814	39.28%	225.7MiB / 3.884GiB	450MB / 468MB	3.32GB / 1.2GB	67	28294	89	62	0	267	0	0	0	9	91626634	17398
1775689819	43.38%	225.9MiB / 3.884GiB	453MB / 470MB	3.32GB / 1.22GB	67	28294	89	62	0	284	0	0	0	9	91688887	17408
1775689823	36.25%	226MiB / 3.884GiB	456MB / 473MB	3.32GB / 1.24GB	67	28294	89	62	0	307	0	0	0	9	91757786	17408
1775689828	37.33%	226MiB / 3.884GiB	459MB / 476MB	3.32GB / 1.26GB	67	28294	89	62	0	329	0	0	0	9	91825461	17411
1775689834	85.44%	219.5MiB / 3.884GiB	464MB / 479MB	3.32GB / 1.3GB	67	28294	89	62	0	348	0	0	0	9	91922747	17413
1775689841	60.11%	219.5MiB / 3.884GiB	467MB / 481MB	3.32GB / 1.31GB	67	28294	89	62	0	377	0	0	0	9	91988091	17413
1775689847	76.39%	220MiB / 3.884GiB	471MB / 484MB	3.32GB / 1.36GB	67	28294	89	62	0	406	0	0	0	9	92065103	17424
1775689854	39.07%	219.8MiB / 3.884GiB	473MB / 486MB	3.32GB / 1.38GB	67	28294	89	62	0	424	0	0	0	9	92120521	17429
1775689860	54.88%	220.3MiB / 3.884GiB	476MB / 488MB	3.32GB / 1.4GB	67	28294	85	62	0	451	0	0	0	9	92178765	17439
1775689866	83.35%	220.6MiB / 3.884GiB	480MB / 492MB	3.32GB / 1.43GB	67	28294	88	62	0	453	0	0	0	9	92273378	17441
1775689871	56.13%	220.8MiB / 3.884GiB	484MB / 494MB	3.32GB / 1.45GB	67	28294	88	62	0	449	0	0	0	9	92340787	17441
1775689876	53.26%	221.6MiB / 3.884GiB	487MB / 497MB	3.32GB / 1.47GB	67	28294	88	62	0	450	0	0	0	9	92416035	17441
1775689882	58.82%	228.9MiB / 3.884GiB	491MB / 500MB	3.33GB / 1.5GB	67	28294	88	62	0	451	0	0	0	9	92492296	17442
1775689887	51.79%	229.7MiB / 3.884GiB	494MB / 502MB	3.33GB / 1.54GB	67	28294	88	62	0	445	0	0	0	9	92554570	17450
1775689893	112.50%	230.3MiB / 3.884GiB	498MB / 506MB	3.33GB / 1.57GB	67	28294	88	62	0	452	0	0	0	9	92651525	17459
1775689900	129.20%	230.1MiB / 3.884GiB	503MB / 509MB	3.33GB / 1.6GB	67	28294	88	62	0	447	0	0	0	9	92749470	17460
1775689907	67.25%	230.7MiB / 3.884GiB	507MB / 513MB	3.33GB / 1.63GB	67	28294	88	62	0	448	0	0	0	9	92843183	17461
1775689913	53.57%	231MiB / 3.884GiB	510MB / 515MB	3.33GB / 1.65GB	67	28294	88	62	0	446	0	0	0	9	92899084	17472
1775689920	58.98%	231.8MiB / 3.884GiB	513MB / 517MB	3.33GB / 1.67GB	67	28294	85	62	0	448	0	0	0	9	92955599	17480
1775689926	50.24%	223.9MiB / 3.884GiB	516MB / 519MB	3.33GB / 1.69GB	67	28294	85	62	0	443	0	0	0	9	93015635	17480
1775689931	62.97%	223.3MiB / 3.884GiB	519MB / 522MB	3.33GB / 1.71GB	67	28291	85	62	0	446	0	0	0	9	93090284	17484
1775689937	40.07%	224MiB / 3.884GiB	522MB / 524MB	3.33GB / 1.73GB	67	28291	85	62	0	444	0	0	0	9	93148104	17484
1775689944	55.31%	224.6MiB / 3.884GiB	525MB / 526MB	3.33GB / 1.75GB	67	28291	85	62	0	446	0	0	0	9	93209707	17491
1775689950	55.37%	224.6MiB / 3.884GiB	527MB / 528MB	3.33GB / 1.77GB	67	28291	85	62	0	439	0	0	0	9	93267929	17497
1775689956	66.03%	225.4MiB / 3.884GiB	530MB / 530MB	3.33GB / 1.78GB	67	28291	85	62	0	441	0	0	0	9	93323661	17507
1775689962	73.23%	225.5MiB / 3.884GiB	533MB / 532MB	3.33GB / 1.8GB	67	28291	85	62	0	431	0	0	0	9	93375502	17507
1775689968	64.51%	225.5MiB / 3.884GiB	535MB / 534MB	3.33GB / 1.81GB	67	28291	85	62	0	428	0	0	0	9	93426629	17507
1775689973	62.83%	232.8MiB / 3.884GiB	537MB / 536MB	3.34GB / 1.84GB	67	28291	85	62	0	428	0	0	0	9	93471426	17509
1775689978	47.59%	233.3MiB / 3.884GiB	540MB / 538MB	3.34GB / 1.86GB	67	27907	82	62	0	437	0	0	0	9	93526004	17509
