ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775690530	0.00%	222.4MiB / 3.884GiB	659MB / 628MB	3.4GB / 2.58GB	63	28310	84	58	1	212	0	0	0	9	96259733	17915
1775690535	0.00%	215.8MiB / 3.884GiB	659MB / 628MB	3.4GB / 2.58GB	61	28310	84	56	1	212	0	0	0	9	96264276	17919
1775690541	0.00%	217.5MiB / 3.884GiB	659MB / 628MB	3.4GB / 2.58GB	61	28310	84	56	1	209	0	0	0	9	96269838	17923
1775690547	0.00%	208.6MiB / 3.884GiB	659MB / 628MB	3.4GB / 2.58GB	58	28310	84	53	1	204	0	0	0	9	96276166	17925
1775690553	173.84%	226.5MiB / 3.884GiB	668MB / 635MB	3.4GB / 2.59GB	66	28294	86	62	1	256	883	0	0	9	96690520	17950
1775690562	160.82%	219.2MiB / 3.884GiB	694MB / 654MB	3.4GB / 2.61GB	67	28294	87	62	1	309	1145	0	0	9	97251583	17967
1775690570	155.89%	221.3MiB / 3.884GiB	722MB / 675MB	3.4GB / 2.63GB	67	28294	87	62	1	338	1150	0	0	9	97769542	17986
1775690578	148.43%	223.7MiB / 3.884GiB	747MB / 694MB	3.4GB / 2.65GB	67	28310	88	62	0	377	643	0	0	9	98250082	18006
1775690585	180.28%	224.8MiB / 3.884GiB	770MB / 710MB	3.4GB / 2.67GB	67	28294	86	62	0	420	1163	0	0	9	98685756	18017
1775690592	171.09%	225.3MiB / 3.884GiB	795MB / 729MB	3.4GB / 2.69GB	67	28310	87	62	0	452	1167	0	0	9	99222655	18036
1775690600	164.36%	227.7MiB / 3.884GiB	823MB / 750MB	3.4GB / 2.71GB	67	28310	88	62	0	503	1170	0	0	9	99793914	18057
1775690609	137.21%	236.6MiB / 3.884GiB	849MB / 768MB	3.4GB / 2.73GB	67	28310	88	62	0	539	1173	0	0	9	100271503	18070
1775690618	138.14%	237.8MiB / 3.884GiB	872MB / 786MB	3.4GB / 2.74GB	67	28310	88	62	0	514	1180	0	0	9	100718100	18084
1775690625	170.15%	238MiB / 3.884GiB	894MB / 802MB	3.4GB / 2.76GB	67	28310	88	62	0	482	925	0	0	9	101138263	18103
1775690633	141.33%	239.3MiB / 3.884GiB	918MB / 819MB	3.4GB / 2.78GB	67	28310	88	62	0	445	1189	0	0	9	101571627	18117
1775690640	127.44%	240.1MiB / 3.884GiB	939MB / 835MB	3.4GB / 2.79GB	67	28294	86	62	0	399	682	0	0	9	102021643	18149
1775690647	115.26%	233MiB / 3.884GiB	960MB / 851MB	3.4GB / 2.81GB	67	28294	86	62	0	322	1199	0	0	9	102426353	18164
