ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775690271	0.58%	341.9MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	11	7	72	64	0	221	0	0	0	65	95279451	17688
1775690275	0.12%	343MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	12	7	72	64	0	218	0	0	0	65	95283103	17694
1775690280	0.00%	341.9MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	12	7	72	64	0	217	0	0	0	65	95286692	17695
1775690285	0.00%	341.9MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	11	7	72	64	0	217	0	0	0	65	95290674	17701
1775690289	0.01%	341.9MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	11	7	72	64	0	221	0	0	0	65	95294702	17711
1775690294	0.27%	341.9MiB / 3.884GiB	4.35GB / 12.3GB	1.93GB / 0B	11	7	72	64	0	220	0	0	0	65	95298576	17720
1775690298	29.94%	359.8MiB / 3.884GiB	4.35GB / 12.3GB	1.95GB / 0B	11	7	78	69	0	219	0	0	0	65	95360458	17728
1775690302	52.32%	357.2MiB / 3.884GiB	4.35GB / 12.3GB	1.95GB / 0B	11	7	76	68	0	220	115	0	0	65	95492061	17733
1775690307	51.42%	357.2MiB / 3.884GiB	4.36GB / 12.3GB	1.95GB / 0B	12	7	75	68	0	223	883	0	0	65	95637065	17733
1775690313	59.44%	357.2MiB / 3.884GiB	4.37GB / 12.3GB	1.95GB / 0B	11	7	76	69	0	225	883	0	0	65	95806782	17737
1775690320	44.05%	357.2MiB / 3.884GiB	4.38GB / 12.4GB	1.95GB / 0B	11	7	78	70	0	221	628	0	0	65	95981548	17743
1775690326	56.00%	357.2MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	76	66	0	219	1142	0	0	65	96096577	17743
1775690332	0.01%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	212	1142	0	0	65	96098705	17743
1775690335	0.35%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	205	883	0	0	65	96102815	17744
1775690339	1.88%	342.7MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	222	627	0	0	65	96106416	17744
1775690344	0.19%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	223	371	0	0	65	96110060	17749
1775690349	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	227	115	0	0	65	96114391	17749
1775690354	0.52%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	212	115	0	0	65	96116132	17749
1775690357	1.12%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	202	0	0	0	65	96120022	17762
1775690360	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	226	0	0	0	65	96123371	17768
1775690365	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	225	0	0	0	65	96127324	17768
1775690371	0.05%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	225	0	0	0	65	96131204	17779
1775690377	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	224	0	0	0	65	96135267	17783
1775690383	0.01%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	220	0	0	0	65	96139293	17783
1775690388	2.50%	340.9MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	225	0	0	0	65	96143033	17787
1775690394	2.55%	340.3MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	213	0	0	0	65	96144986	17787
1775690397	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	211	0	0	0	65	96148686	17792
1775690400	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	12	7	72	64	0	214	0	0	0	65	96153150	17794
1775690404	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	218	0	0	0	65	96157468	17795
1775690409	0.00%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	219	0	0	0	65	96160922	17802
1775690413	0.13%	340MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	221	0	0	0	65	96165460	17807
1775690418	0.00%	339.3MiB / 3.884GiB	4.39GB / 12.4GB	1.95GB / 0B	11	7	72	64	0	211	0	0	0	65	96169760	17813
