ts	cpu	mem	net_io	block_io	pids	main_pid	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775690284	1.59%	238.2MiB / 3.884GiB	619MB / 599MB	3.36GB / 2.48GB	67	28294	83	62	0	210	0	0	0	9	95288749	17696
1775690288	0.00%	230.3MiB / 3.884GiB	619MB / 599MB	3.36GB / 2.48GB	67	28294	83	62	0	215	0	0	0	9	95292591	17701
1775690291	2.97%	230.3MiB / 3.884GiB	619MB / 599MB	3.36GB / 2.48GB	67	28294	83	62	0	208	0	0	0	9	95296530	17716
1775690295	0.00%	230.6MiB / 3.884GiB	619MB / 599MB	3.36GB / 2.48GB	67	28294	83	62	0	212	0	0	0	9	95303156	17724
1775690300	61.92%	232.9MiB / 3.884GiB	623MB / 602MB	3.37GB / 2.49GB	67	28294	87	62	0	220	0	0	0	9	95435934	17732
1775690305	56.30%	233.3MiB / 3.884GiB	630MB / 607MB	3.37GB / 2.51GB	67	28294	87	62	0	219	371	0	0	9	95564069	17733
1775690310	40.36%	233.3MiB / 3.884GiB	635MB / 611MB	3.37GB / 2.52GB	67	28294	87	62	0	225	627	0	0	9	95686302	17733
1775690315	45.22%	232.2MiB / 3.884GiB	642MB / 616MB	3.37GB / 2.54GB	67	28294	87	62	0	234	883	0	0	9	95847487	17739
1775690321	70.25%	233.6MiB / 3.884GiB	650MB / 622MB	3.37GB / 2.55GB	67	28294	87	62	0	223	630	0	0	9	96019466	17743
1775690328	51.30%	233.8MiB / 3.884GiB	658MB / 628MB	3.37GB / 2.57GB	67	28294	87	62	0	226	1142	0	0	9	96097655	17743
1775690333	0.12%	239.5MiB / 3.884GiB	659MB / 628MB	3.37GB / 2.57GB	67	28294	87	62	0	221	883	0	0	9	96101750	17744
1775690338	1.08%	241.5MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	88	62	0	215	627	0	0	9	96105781	17744
1775690343	1.04%	241.3MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	88	62	0	222	371	0	0	9	96110096	17749
1775690349	0.07%	241.4MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	88	62	0	223	115	0	0	9	96114537	17749
1775690354	0.21%	241.4MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	88	62	0	222	0	0	0	9	96119352	17762
1775690360	0.05%	241.2MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	88	62	0	226	0	0	0	9	96123371	17768
1775690365	0.31%	241.5MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28291	85	62	0	226	0	0	0	9	96127232	17768
1775690371	3.46%	241.8MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28291	85	62	0	221	0	0	0	9	96131286	17779
1775690377	0.08%	233.3MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	217	0	0	0	9	96135312	17783
1775690383	0.15%	233.6MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	220	0	0	0	9	96139332	17783
1775690388	0.10%	233.6MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	221	0	0	0	9	96143243	17787
1775690394	0.07%	233.1MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	216	0	0	0	9	96147374	17792
1775690399	0.43%	233.3MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	214	0	0	0	9	96152009	17792
1775690404	1.83%	233.3MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	219	0	0	0	9	96156120	17795
1775690408	0.05%	233.5MiB / 3.884GiB	659MB / 628MB	3.38GB / 2.57GB	67	28310	84	62	0	212	0	0	0	9	96161215	17802
