table_name,column_name,current_type,recommended_name,recommended_type,note
access_tokens,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
account_validity,allow_renewal,bool,is_renewal,bool,布尔命名标准化
active_tokens,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_events,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_events,processed,bool,is_processed,bool,布尔命名标准化
application_service_events,as_id,text,as_id,varchar(255),应用服务主关联键统一
application_service_room_alias_namespaces,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_room_alias_namespaces,exclusive,bool,is_exclusive,bool,布尔命名标准化
application_service_room_namespaces,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_room_namespaces,exclusive,bool,is_exclusive,bool,布尔命名标准化
application_service_state,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_state,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_statistics,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_statistics,rate_limited,bool,is_rate_limited,bool,布尔命名标准化
application_service_transactions,as_id,text,as_id,varchar(255),应用服务主关联键统一
application_service_user_namespaces,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_user_namespaces,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_user_namespaces,exclusive,bool,is_exclusive,bool,布尔命名标准化
application_service_users,appservice_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_service_users,as_id,text,as_id,varchar(255),应用服务主关联键统一
application_services,as_id,varchar,as_id,varchar(255),应用服务主关联键统一
application_services,rate_limited,bool,is_rate_limited,bool,布尔命名标准化
blocked_rooms,blocked_at,int8,blocked_ts,int8,时间字段统一为 _ts
captcha_rate_limit,first_request_at,timestamptz,first_request_ts,timestamptz,时间字段统一为 _ts
captcha_rate_limit,last_request_at,timestamptz,last_request_ts,timestamptz,时间字段统一为 _ts
captcha_send_log,sent_at,timestamptz,sent_ts,timestamptz,时间字段统一为 _ts
