severity,category,table_name,column_name,current_type,recommended,detail
medium,boolean_naming,account_validity,allow_renewal,bool,is_renewal,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_service_events,processed,bool,is_processed,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_service_room_alias_namespaces,exclusive,bool,is_exclusive,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_service_room_namespaces,exclusive,bool,is_exclusive,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_service_statistics,rate_limited,bool,is_rate_limited,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_service_user_namespaces,exclusive,bool,is_exclusive,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,application_services,rate_limited,bool,is_rate_limited,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,captcha_send_log,success,bool,is_success,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,device_keys,verified,bool,is_verified,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,device_keys,blocked,bool,is_blocked,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,e2ee_key_requests,fulfilled,bool,is_fulfilled,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,email_verification_tokens,used,bool,is_used,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,events,contains_url,bool,is_contains_url,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,events,redacted,bool,is_redacted,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,media_quota_alerts_backup_20260301,acknowledged,bool,is_acknowledged,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,module_execution_logs,success,bool,is_success,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,notifications,read,bool,is_read,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,olm_accounts,one_time_keys_published,bool,is_one_time_keys_published,布尔字段未使用 is_/has_ 前缀
medium,boolean_naming,olm_accounts,fallback_key_published,bool,is_fallback_key_published,布尔字段未使用 is_/has_ 前缀
