Case,super_admin_status,super_admin_outcome,admin_status,admin_outcome,user_status,user_outcome
Health endpoint,,pass,,pass,,pass
Versions endpoint,200,pass,200,pass,200,pass
Login (User: @testuser1:localhost),,pass,,pass,N/A,N/A
Ensure Second User (@testuser2:localhost),409,pass,409,pass,409,pass
Second User Login,200,pass,200,pass,200,pass
Second Device Login,200,pass,200,pass,200,pass
Admin Login,200,pass,200,pass,403,pass
Capabilities,200,pass,200,pass,200,pass
Create Test Room,200,pass,200,pass,200,pass
Create Second Room,200,pass,200,pass,200,pass
Sync,200,pass,200,pass,200,pass
Room Sync Filter,200,pass,200,pass,200,pass
Get Profile,200,pass,200,pass,200,pass
Update Displayname,200,pass,200,pass,200,pass
Get Avatar URL,200,pass,200,pass,200,pass
Set Avatar URL,,pass,,pass,,pass
Get Room State,200,pass,200,pass,200,pass
Send Message,200,pass,200,pass,200,pass
Room Messages,200,pass,200,pass,200,pass
Joined Members,200,pass,200,pass,200,pass
Set Room Alias,200,pass,200,pass,200,pass
Get Room Alias,200,pass,200,pass,200,pass
Set Room Topic,200,pass,200,pass,200,pass
Redact Event,200,pass,200,pass,200,pass
Media Config,200,pass,200,pass,200,pass
Media Upload,,pass,,pass,,pass
Media Download,,pass,,pass,,pass
Media Thumbnail,,pass,,pass,,pass
VoIP Config,200,pass,200,pass,200,pass
Set User Account Data,,pass,,pass,,pass
Get User Account Data,200,pass,200,pass,200,pass
Set Room Account Data,200,pass,200,pass,200,pass
Get Room Account Data,404,pass,404,pass,404,pass
Add Room Tag,,pass,,pass,,pass
Get Room Tags,200,pass,200,pass,200,pass
Remove Room Tag,200,pass,200,pass,200,pass
Update Presence,,pass,,pass,,pass
Get Presence,200,pass,200,pass,200,pass
Presence Subscribe,200,pass,200,pass,200,pass
List Presences,200,pass,200,pass,200,pass
Invite User,200,pass,200,pass,200,pass
Join Room,200,pass,200,pass,200,pass
Leave Room,200,pass,200,pass,200,pass
Get Membership,200,pass,200,pass,200,pass
List Devices,200,pass,200,pass,200,pass
Get Device,200,pass,200,pass,200,pass
Update Device,200,pass,200,pass,200,pass
Delete Device,,skip,,skip,,skip
Upload Keys,200,pass,200,pass,200,pass
Query Keys,200,pass,200,pass,200,pass
Claim Keys,200,pass,200,pass,200,pass
Public Rooms,200,pass,200,pass,200,pass
User Directory,200,pass,200,pass,200,pass
Room Summary,200,pass,200,pass,200,pass
Room Summary Stats,200,pass,200,pass,200,pass
Room Summary Members,200,pass,200,pass,200,pass
Room Summary State,200,pass,200,pass,200,pass
WhoAmI,200,pass,200,pass,200,pass
Search Rooms,,pass,,pass,,pass
Admin List Users,200,pass,200,pass,403,pass
Admin User Details,200,pass,200,pass,403,pass
Admin User Sessions,200,pass,200,pass,403,pass
Admin User Stats,200,pass,200,pass,403,pass
Admin User Devices,200,pass,200,pass,403,pass
Admin List Rooms,200,pass,200,pass,403,pass
Admin Room Details,200,pass,200,pass,403,pass
Admin Room Members,200,pass,200,pass,403,pass
Admin Room Messages,200,pass,200,pass,403,pass
