-- ============================================================================
-- 数据库架构列定义文档
-- ============================================================================
-- 
-- 说明: 本文件是从当前数据库导出的架构快照，用于记录数据库表结构。
-- 
-- 重要提示:
-- 1. 本文件中的字段命名可能与 DATABASE_FIELD_STANDARDS.md 规范不一致
-- 2. 请参考 DATABASE_FIELD_NORM_AUDIT_REPORT.md 了解需要规范化的字段
-- 3. 实际数据库迁移脚本位于:
--    - 00000000_unified_schema.sql (统一架构)
--    - 20260220000000_normalize_field_names.sql (字段规范化迁移)
-- 
-- 规范要求:
-- - 布尔字段使用 is_/has_ 前缀 (如: is_enabled, is_active -> is_enabled)
-- - 时间戳字段使用 _ts 后缀 (如: created_ts, updated_ts)
-- - 可选时间戳使用 _at 后缀 (如: expires_at, revoked_at)
-- - 避免冗余字段 (如: ip 和 ip_address 保留一个)
-- 
-- 生成命令:
-- SELECT table_name, column_name, data_type, character_maximum_length, 
--        is_nullable, column_default 
-- FROM information_schema.columns 
-- WHERE table_schema = 'public' 
-- ORDER BY table_name, ordinal_position;
-- 
-- ============================================================================

                table_name                 |        column_name         |        data_type         | character_maximum_length | is_nullable |                            column_default                             
-------------------------------------------+----------------------------+--------------------------+--------------------------+-------------+-----------------------------------------------------------------------
 _sqlx_migrations                          | id                         | bigint                   |                          | NO          | nextval('_sqlx_migrations_id_seq'::regclass)
 _sqlx_migrations                          | checksum                   | bytea                    |                          | NO          | 
 _sqlx_migrations                          | description                | text                     |                          | NO          | 
 _sqlx_migrations                          | success                    | boolean                  |                          | NO          | 
 _sqlx_migrations                          | start_time                 | timestamp with time zone |                          | NO          | 
 _sqlx_migrations                          | finish_time                | timestamp with time zone |                          | NO          | 
 _sqlx_migrations                          | script_name                | text                     |                          | NO          | 
 access_tokens                             | id                         | bigint                   |                          | NO          | nextval('access_tokens_id_seq'::regclass)
 access_tokens                             | token                      | text                     |                          | NO          | 
 access_tokens                             | user_id                    | character varying        |                      255 | NO          | 
 access_tokens                             | device_id                  | character varying        |                      255 | YES         | 
 access_tokens                             | appservice_id              | character varying        |                      255 | YES         | 
 access_tokens                             | expires_ts                 | bigint                   |                          | NO          | 
 access_tokens                             | created_ts                 | bigint                   |                          | NO          | 
 access_tokens                             | last_used_ts               | bigint                   |                          | YES         | 
 access_tokens                             | user_agent                 | text                     |                          | YES         | 
 access_tokens                             | ip                         | character varying        |                      255 | YES         | 
 access_tokens                             | invalidated_ts             | bigint                   |                          | YES         | 
 account_data                              | id                         | bigint                   |                          | NO          | nextval('account_data_id_seq'::regclass)
 account_data                              | user_id                    | character varying        |                      255 | NO          | 
 account_data                              | data_type                  | character varying        |                      255 | NO          | 
 account_data                              | content                    | jsonb                    |                          | NO          | '{}'::jsonb
 account_data                              | updated_at                 | bigint                   |                          | NO          | 
 account_data                              | created_at                 | bigint                   |                          | YES         | 
 account_data_callbacks                    | id                         | integer                  |                          | NO          | nextval('account_data_callbacks_id_seq'::regclass)
 account_data_callbacks                    | callback_name              | character varying        |                      255 | NO          | 
 account_data_callbacks                    | callback_type              | character varying        |                       50 | NO          | 
 account_data_callbacks                    | config                     | jsonb                    |                          | NO          | 
 account_data_callbacks                    | enabled                    | boolean                  |                          | YES         | true
 account_data_callbacks                    | priority                   | integer                  |                          | YES         | 100
 account_data_callbacks                    | created_ts                 | bigint                   |                          | NO          | 
 account_data_callbacks                    | updated_ts                 | bigint                   |                          | NO          | 
 account_validity                          | user_id                    | character varying        |                      255 | NO          | 
 account_validity                          | expiration_ts              | bigint                   |                          | NO          | 
 account_validity                          | email_sent_ts              | bigint                   |                          | YES         | 
 account_validity                          | renewal_token              | character varying        |                      255 | YES         | 
 account_validity                          | renewal_token_ts           | bigint                   |                          | YES         | 
 account_validity                          | is_valid                   | boolean                  |                          | YES         | true
 account_validity                          | created_ts                 | bigint                   |                          | NO          | 
 account_validity                          | updated_ts                 | bigint                   |                          | NO          | 
 active_workers                            | worker_id                  | character varying        |                      255 | YES         | 
 active_workers                            | worker_name                | character varying        |                      255 | YES         | 
 active_workers                            | worker_type                | character varying        |                       50 | YES         | 
 active_workers                            | host                       | character varying        |                      255 | YES         | 
 active_workers                            | port                       | integer                  |                          | YES         | 
 active_workers                            | status                     | character varying        |                       50 | YES         | 
 active_workers                            | last_heartbeat_ts          | bigint                   |                          | YES         | 
 active_workers                            | started_ts                 | bigint                   |                          | YES         | 
 active_workers                            | version                    | character varying        |                       50 | YES         | 
 application_service_events                | event_id                   | character varying        |                      255 | NO          | 
 application_service_events                | as_id                      | character varying        |                      255 | NO          | 
 application_service_events                | room_id                    | character varying        |                      255 | NO          | 
 application_service_events                | event_type                 | character varying        |                      255 | NO          | 
 application_service_events                | sender                     | character varying        |                      255 | NO          | 
 application_service_events                | content                    | jsonb                    |                          | NO          | '{}'::jsonb
 application_service_events                | state_key                  | character varying        |                      255 | YES         | 
 application_service_events                | origin_server_ts           | bigint                   |                          | NO          | 
 application_service_events                | processed_ts               | bigint                   |                          | YES         | 
 application_service_events                | transaction_id             | character varying        |                      255 | YES         | 
 application_service_room_alias_namespaces | id                         | bigint                   |                          | NO          | nextval('application_service_room_alias_namespaces_id_seq'::regclass)
 application_service_room_alias_namespaces | as_id                      | character varying        |                      255 | NO          | 
 application_service_room_alias_namespaces | namespace_pattern          | character varying        |                      255 | NO          | 
 application_service_room_alias_namespaces | exclusive                  | boolean                  |                          | YES         | false
 application_service_room_alias_namespaces | regex                      | character varying        |                      512 | NO          | 
 application_service_room_alias_namespaces | created_ts                 | bigint                   |                          | NO          | 
 application_service_room_namespaces       | id                         | bigint                   |                          | NO          | nextval('application_service_room_namespaces_id_seq'::regclass)
 application_service_room_namespaces       | as_id                      | character varying        |                      255 | NO          | 
 application_service_room_namespaces       | namespace_pattern          | character varying        |                      255 | NO          | 
 application_service_room_namespaces       | exclusive                  | boolean                  |                          | YES         | false
 application_service_room_namespaces       | regex                      | character varying        |                      512 | NO          | 
 application_service_room_namespaces       | created_ts                 | bigint                   |                          | NO          | 
 application_service_state                 | as_id                      | character varying        |                      255 | NO          | 
 application_service_state                 | state_key                  | character varying        |                      255 | NO          | 
 application_service_state                 | state_value                | text                     |                          | NO          | 
 application_service_state                 | updated_ts                 | bigint                   |                          | NO          | 
 application_service_statistics            | id                         | bigint                   |                          | YES         | 
 application_service_statistics            | as_id                      | character varying        |                      255 | YES         | 
 application_service_statistics            | name                       | character varying        |                      255 | YES         | 
 application_service_statistics            | is_active                  | boolean                  |                          | YES         | 
 application_service_statistics            | rate_limited               | boolean                  |                          | YES         | 
 application_service_statistics            | virtual_user_count         | bigint                   |                          | YES         | 
 application_service_statistics            | pending_event_count        | bigint                   |                          | YES         | 
 application_service_statistics            | pending_transaction_count  | bigint                   |                          | YES         | 
 application_service_statistics            | last_seen_ts               | bigint                   |                          | YES         | 
 application_service_statistics            | created_ts                 | bigint                   |                          | YES         | 
 application_service_transactions          | id                         | bigint                   |                          | NO          | nextval('application_service_transactions_id_seq'::regclass)
 application_service_transactions          | as_id                      | character varying        |                      255 | NO          | 
 application_service_transactions          | transaction_id             | character varying        |                      255 | NO          | 
 application_service_transactions          | events                     | jsonb                    |                          | NO          | '[]'::jsonb
 application_service_transactions          | sent_ts                    | bigint                   |                          | NO          | 
 application_service_transactions          | completed_ts               | bigint                   |                          | YES         | 
 application_service_transactions          | retry_count                | integer                  |                          | YES         | 0
 application_service_transactions          | last_error                 | text                     |                          | YES         | 
 application_service_user_namespaces       | id                         | bigint                   |                          | NO          | nextval('application_service_user_namespaces_id_seq'::regclass)
 application_service_user_namespaces       | as_id                      | character varying        |                      255 | NO          | 
 application_service_user_namespaces       | namespace_pattern          | character varying        |                      255 | NO          | 
 application_service_user_namespaces       | exclusive                  | boolean                  |                          | YES         | false
 application_service_user_namespaces       | regex                      | character varying        |                      512 | NO          | 
 application_service_user_namespaces       | created_ts                 | bigint                   |                          | NO          | 
 application_service_users                 | as_id                      | character varying        |                      255 | NO          | 
 application_service_users                 | user_id                    | character varying        |                      255 | NO          | 
 application_service_users                 | displayname                | character varying        |                      255 | YES         | 
 application_service_users                 | avatar_url                 | character varying        |                      512 | YES         | 
 application_service_users                 | created_ts                 | bigint                   |                          | NO          | 
 application_services                      | id                         | bigint                   |                          | NO          | nextval('application_services_id_seq'::regclass)
