table_schema,table_name,column_name,data_type,udt_name,is_nullable,column_default
public,access_tokens,id,bigint,int8,NO,nextval('access_tokens_id_seq'::regclass)
public,access_tokens,token,text,text,NO,
public,access_tokens,user_id,character varying,varchar,NO,
public,access_tokens,device_id,character varying,varchar,YES,
public,access_tokens,appservice_id,character varying,varchar,YES,
public,access_tokens,expires_ts,bigint,int8,NO,
public,access_tokens,created_ts,bigint,int8,NO,((EXTRACT(epoch FROM now()) * (1000)::numeric))::bigint
public,access_tokens,last_used_ts,bigint,int8,YES,
public,access_tokens,user_agent,text,text,YES,
public,access_tokens,ip_address,character varying,varchar,YES,
public,access_tokens,is_valid,boolean,bool,YES,true
public,access_tokens,revoked_ts,bigint,int8,YES,
public,account_data,id,bigint,int8,NO,nextval('account_data_id_seq'::regclass)
public,account_data,user_id,character varying,varchar,NO,
public,account_data,data_type,character varying,varchar,NO,
public,account_data,content,jsonb,jsonb,NO,'{}'::jsonb
public,account_data,created_ts,bigint,int8,NO,((EXTRACT(epoch FROM now()) * (1000)::numeric))::bigint
public,account_data,updated_ts,bigint,int8,NO,((EXTRACT(epoch FROM now()) * (1000)::numeric))::bigint
public,account_data_callbacks,id,integer,int4,NO,nextval('account_data_callbacks_id_seq'::regclass)
public,account_data_callbacks,callback_type,character varying,varchar,NO,
public,account_data_callbacks,user_id,character varying,varchar,NO,
public,account_data_callbacks,data_type,character varying,varchar,YES,
public,account_data_callbacks,result,jsonb,jsonb,YES,
public,account_data_callbacks,created_ts,bigint,int8,YES,
public,account_data_callbacks,is_enabled,boolean,bool,YES,true
public,account_validity,user_id,character varying,varchar,NO,
public,account_validity,expiration_ts,bigint,int8,YES,
public,account_validity,renewed_ts,bigint,int8,YES,
public,account_validity,allow_renewal,boolean,bool,YES,true
public,active_tokens,id,bigint,int8,YES,
public,active_tokens,token,text,text,YES,
public,active_tokens,user_id,character varying,varchar,YES,
public,active_tokens,device_id,character varying,varchar,YES,
public,active_tokens,appservice_id,character varying,varchar,YES,
public,active_tokens,expires_ts,bigint,int8,YES,
public,active_tokens,created_ts,bigint,int8,YES,
public,active_tokens,last_used_ts,bigint,int8,YES,
public,active_tokens,user_agent,text,text,YES,
public,active_tokens,ip_address,character varying,varchar,YES,
public,active_tokens,is_valid,boolean,bool,YES,
public,active_tokens,revoked_ts,bigint,int8,YES,
public,active_workers,worker_id,character varying,varchar,NO,
public,active_workers,worker_type,character varying,varchar,NO,
public,active_workers,instance_name,character varying,varchar,YES,
public,active_workers,status,character varying,varchar,YES,'running'::character varying
public,active_workers,started_ts,bigint,int8,NO,
public,active_workers,last_heartbeat,bigint,int8,YES,
public,active_workers,pid,integer,int4,YES,
public,active_workers,cpu_usage,double precision,float8,YES,
public,active_workers,memory_usage,bigint,int8,YES,
public,active_workers,updated_ts,bigint,int8,YES,
public,application_service_events,id,integer,int4,NO,nextval('application_service_events_id_seq'::regclass)
public,application_service_events,appservice_id,character varying,varchar,YES,
public,application_service_events,event_id,character varying,varchar,NO,
public,application_service_events,room_id,character varying,varchar,YES,
public,application_service_events,event_type,character varying,varchar,YES,
public,application_service_events,processed,boolean,bool,NO,false
public,application_service_events,created_ts,bigint,int8,YES,
public,application_service_events,processed_ts,bigint,int8,YES,
public,application_service_events,as_id,text,text,NO,
public,application_service_events,sender,text,text,YES,
public,application_service_events,content,jsonb,jsonb,YES,
public,application_service_events,state_key,text,text,YES,
public,application_service_events,origin_server_ts,bigint,int8,YES,
public,application_service_events,transaction_id,text,text,YES,
public,application_service_room_alias_namespaces,id,bigint,int8,NO,nextval('application_service_room_alias_namespaces_id_seq'::regclass)
public,application_service_room_alias_namespaces,as_id,character varying,varchar,NO,
public,application_service_room_alias_namespaces,namespace_pattern,text,text,NO,
public,application_service_room_alias_namespaces,exclusive,boolean,bool,NO,false
public,application_service_room_alias_namespaces,regex,text,text,NO,
public,application_service_room_alias_namespaces,created_ts,bigint,int8,NO,
public,application_service_room_namespaces,id,bigint,int8,NO,nextval('application_service_room_namespaces_id_seq'::regclass)
public,application_service_room_namespaces,as_id,character varying,varchar,NO,
public,application_service_room_namespaces,namespace_pattern,text,text,NO,
public,application_service_room_namespaces,exclusive,boolean,bool,NO,false
public,application_service_room_namespaces,regex,text,text,NO,
public,application_service_room_namespaces,created_ts,bigint,int8,NO,
public,application_service_state,id,integer,int4,NO,nextval('application_service_state_id_seq'::regclass)
public,application_service_state,appservice_id,character varying,varchar,YES,
public,application_service_state,state,character varying,varchar,NO,''::character varying
public,application_service_state,last_check_ts,bigint,int8,YES,
public,application_service_state,error_message,text,text,YES,
