table_name,column_name,constraint_type,constraint_name
access_tokens,user_id,FOREIGN KEY,access_tokens_user_id_fkey
access_tokens,user_id,FOREIGN KEY,fk_access_tokens_user
access_tokens,id,PRIMARY KEY,access_tokens_pkey
access_tokens,token,UNIQUE,access_tokens_token_key
account_data,id,PRIMARY KEY,account_data_pkey
account_data,data_type,UNIQUE,account_data_user_id_data_type_key
account_data,user_id,UNIQUE,account_data_user_id_data_type_key
account_data_callbacks,id,PRIMARY KEY,account_data_callbacks_pkey
account_validity,user_id,FOREIGN KEY,account_validity_user_id_fkey
account_validity,user_id,PRIMARY KEY,account_validity_pkey
active_workers,worker_id,PRIMARY KEY,active_workers_pkey
application_service_events,id,PRIMARY KEY,application_service_events_pkey
application_service_events,event_id,UNIQUE,application_service_events_appservice_id_event_id_key
application_service_events,appservice_id,UNIQUE,application_service_events_appservice_id_event_id_key
application_service_room_alias_namespaces,as_id,FOREIGN KEY,application_service_room_alias_namespaces_as_id_fkey
application_service_room_alias_namespaces,as_id,FOREIGN KEY,fk_application_service_room_alias_namespaces_as_id
application_service_room_alias_namespaces,id,PRIMARY KEY,application_service_room_alias_namespaces_pkey
application_service_room_namespaces,as_id,FOREIGN KEY,application_service_room_namespaces_as_id_fkey
application_service_room_namespaces,as_id,FOREIGN KEY,fk_application_service_room_namespaces_as_id
application_service_room_namespaces,id,PRIMARY KEY,application_service_room_namespaces_pkey
application_service_state,id,PRIMARY KEY,application_service_state_pkey
application_service_state,appservice_id,UNIQUE,application_service_state_appservice_id_key
application_service_transactions,as_id,FOREIGN KEY,fk_application_service_transactions_as_id
application_service_transactions,id,PRIMARY KEY,application_service_transactions_pkey
application_service_transactions,transaction_id,UNIQUE,app_service_transactions_unique
application_service_transactions,as_id,UNIQUE,app_service_transactions_unique
application_service_user_namespaces,as_id,FOREIGN KEY,fk_application_service_user_namespaces_as_id
application_service_user_namespaces,id,PRIMARY KEY,application_service_user_namespaces_pkey
application_service_user_namespaces,pattern,UNIQUE,application_service_user_name_appservice_id_namespace_type__key
application_service_user_namespaces,namespace_type,UNIQUE,application_service_user_name_appservice_id_namespace_type__key
application_service_user_namespaces,appservice_id,UNIQUE,application_service_user_name_appservice_id_namespace_type__key
application_service_users,id,PRIMARY KEY,application_service_users_pkey
application_service_users,appservice_id,UNIQUE,application_service_users_appservice_id_user_id_key
application_service_users,user_id,UNIQUE,application_service_users_appservice_id_user_id_key
application_services,id,PRIMARY KEY,application_services_pkey
application_services,as_id,UNIQUE,application_services_as_id_key
background_update_history,job_name,FOREIGN KEY,background_update_history_job_name_fkey
background_update_history,id,PRIMARY KEY,background_update_history_pkey
background_update_locks,job_name,PRIMARY KEY,background_update_locks_pkey
background_update_stats,id,PRIMARY KEY,background_update_stats_pkey
background_update_stats,job_name,UNIQUE,background_update_stats_job_name_key
background_updates,update_name,PRIMARY KEY,background_updates_pkey
backup_keys,user_id,FOREIGN KEY,fk_backup_keys_user_id
backup_keys,id,PRIMARY KEY,backup_keys_pkey
backup_keys,backup_id,UNIQUE,backup_keys_user_id_backup_id_room_id_session_id_first_mess_key
